Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
5,0.41,12.0,37.32,0.58,46.33,8.59,3.65,63.4,23.3
4,1.79,14.83,24.73,1.91,56.1,8.68,0.85,68.08,22.9
4,2.94,9.68,24.87,0.65,50.87,7.6,1.8,68.19,25.5
5,0.0,17.89,8.2,0.05,13.23,11.67,0.06,70.2,22.2
6,0.31,14.19,27.47,0.32,24.91,7.74,1.03,69.42,16.3
6,0.16,11.99,26.61,0.34,39.77,7.66,1.46,69.87,20.8
5,0.16,19.63,37.86,1.07,55.88,8.65,1.27,69.3,20.2
5,0.83,12.82,24.57,0.33,50.04,8.15,2.17,67.65,22.7
6,0.13,9.67,21.18,0.0,24.4,7.95,2.47,70.01,9.5
5,0.92,11.81,25.63,0.26,52.61,7.55,2.18,68.67,25.0
6,0.16,15.08,26.83,0.08,27.72,7.95,2.09,70.78,15.3
6,0.24,13.09,31.15,0.49,47.27,7.54,2.68,69.46,20.7
6,0.42,15.11,34.61,0.0,38.58,7.77,1.14,69.15,17.6
6,0.49,10.11,26.15,0.12,15.85,8.18,0.38,70.27,19.0
6,0.12,7.54,16.62,0.95,21.83,7.6,3.3,68.26,21.8
6,0.14,8.32,19.15,0.1,62.73,7.91,1.64,70.03,22.1
5,0.4,14.81,31.59,4.14,62.91,8.71,4.78,63.66,22.8
6,0.0,9.11,10.9,0.19,11.87,10.91,0.03,71.42,19.4
6,0.0,8.93,11.7,0.0,14.78,11.03,0.04,71.66,19.7
6,1.63,4.81,14.81,0.52,18.74,8.4,1.74,71.14,17.5
4,5.0,7.15,9.38,0.08,6.11,8.52,2.5,71.1,13.8
6,0.6,3.69,28.79,0.13,20.25,7.29,5.47,68.35,19.4
3,5.0,5.13,18.08,0.0,23.8,7.57,2.81,71.52,20.0
5,2.11,2.75,17.18,0.42,29.47,8.18,3.26,70.08,23.5
4,4.95,7.2,12.76,0.47,10.58,8.77,3.93,72.1,22.6
6,0.0,4.76,5.07,0.0,6.29,10.25,0.07,73.41,16.7
3,5.0,6.42,10.47,0.79,28.8,9.04,1.42,70.46,20.0
3,5.0,6.85,13.93,0.51,20.13,8.38,0.85,71.11,17.6
3,5.0,4.95,8.23,0.74,18.66,9.13,2.72,65.31,17.8
3,3.57,13.93,23.55,3.44,20.93,7.72,3.78,62.39,25.4
3,5.0,7.09,8.63,0.17,36.05,7.51,1.13,67.36,21.7
6,0.0,5.05,4.91,0.03,1.19,11.21,0.22,73.36,17.5
6,0.0,9.57,5.14,0.0,12.61,10.1,0.1,72.18,18.8
3,5.0,15.06,55.79,0.0,0.48,8.87,0.05,68.99,19.3
6,0.0,4.94,13.45,0.0,1.65,11.27,0.0,74.19,19.7
6,0.0,7.24,20.37,0.0,0.62,10.53,0.02,73.35,20.4
6,0.0,4.31,8.52,0.0,2.2,10.62,0.01,73.69,17.6
6,0.0,3.56,6.58,0.0,10.91,11.37,0.01,74.2,15.7
6,0.0,4.28,11.02,0.0,8.69,11.29,0.01,74.54,13.4
5,2.87,8.13,25.27,0.13,25.75,8.48,0.29,71.36,28.6
6,0.78,7.7,41.01,0.0,43.46,7.39,0.94,71.21,24.2
6,0.67,11.18,45.06,0.29,36.3,7.02,0.93,70.32,33.7
6,1.49,7.15,29.52,0.0,12.19,9.26,0.35,73.72,31.1
5,0.49,10.65,58.49,0.11,51.46,7.66,0.61,71.59,35.2
6,0.69,11.15,45.19,0.13,42.14,7.83,0.99,69.67,24.4
6,0.62,7.97,41.05,0.11,24.76,8.07,0.6,72.02,16.0
6,0.62,13.1,44.7,0.0,28.3,8.0,0.39,73.78,18.7
6,0.89,12.3,32.81,0.0,21.56,7.56,0.18,72.18,26.5
6,0.41,12.33,46.16,0.07,28.67,7.46,0.44,70.46,23.0
6,0.54,10.71,37.37,0.0,18.88,8.52,0.55,72.62,22.0
6,0.26,13.04,44.05,0.0,7.6,6.94,0.62,71.84,14.4
6,0.3,10.03,31.62,0.05,28.61,7.19,0.6,72.58,18.1
6,1.03,8.83,24.92,0.0,34.91,8.08,0.28,71.18,20.6
6,0.36,8.95,24.47,0.32,15.01,7.54,0.25,72.33,20.6
6,0.98,5.21,22.54,0.04,10.31,9.4,0.14,73.81,21.5
5,1.81,11.3,48.45,0.0,28.97,8.04,0.5,72.52,29.6
6,0.53,9.65,37.13,0.0,29.53,7.94,1.0,71.6,22.7
